,ServiceConnections,Population,Score_SourceNumber,Score_SourceCapacityViolations,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,Lat,Long,County,DSCI2WYAvg,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,TNCFlow2WYAvg,MyPredictions,Prob_A,Prob_B
380,2001,4600,0.0,No,No,No,1770,No,0,0,0,0,0,0,0,0,1.0,32.7918351,-115.774501,IMPERIAL,126.2285714,0,0,NotInCurtailedWatershed,181-0,18-100204,7,0-000,0-000,0-000,0-000,0-000,7-030,Yes,191.2235025,0,1.0,0.0
381,71,231,0.0,No,No,No,1189,No,0,0,0,0,0,0,0,0,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
382,31,242,1.0,No,No,No,791,No,0,0,0,0,0,0,0,0,1.333333333,35.9730179,-116.2711387,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090202,6,0-000,0-000,0-000,0-000,6-020,0-000,No,83.80626285,0,0.9844155844155844,0.015584415584415584
383,111,300,0.5,No,No,No,970,No,0,0,0,0,0,0,0,0,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
384,89,350,0.0,No,No,No,1290,No,0,0,2,0,0,0,0,2,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9857142857142858,0.014285714285714285
385,215,600,0.0,No,No,No,1934,No,0,0,0,0,0,0,0,0,0.333333333,37.3479157,-118.4253236,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
386,285,1225,0.0,No,No,No,1964,No,0,0,0,0,0,0,0,0,0.333333333,37.1814901,-118.3039563,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9948051948051948,0.005194805194805195
387,75,23,1.0,No,No,No,383,No,0,0,0,0,0,0,0,0,1.5,36.8027102,-118.2000951,INYO,239.3809524,1,0,SanJoaquinRiver,18-09,18-090103,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,332.6411936,0,0.9675324675324676,0.032467532467532464
388,14,30,0.5,No,No,No,494,No,0,0,0,0,0,0,0,0,0.5,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-0206-012,0-000,No,162.7916062,0,0.9961038961038962,0.003896103896103896
389,25,70,1.0,No,No,No,758,No,0,0,0,0,0,0,0,0,1.333333333,37.2757983,-118.3826448,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
390,40,90,0.5,No,No,No,492,No,0,0,0,0,0,0,0,0,0.5,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
391,40,132,0.5,No,No,No,713,No,0,0,0,0,0,0,0,0,0.333333333,36.2818827,-118.0064718,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.9948051948051948,0.005194805194805195
392,170,448,0.0,No,No,No,1885,No,0,0,0,0,0,0,0,0,0.333333333,37.3795987,-118.4189459,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
393,27,65,0.5,No,No,No,941,No,0,0,0,0,1,0,0,1,0.333333333,37.3679675,-118.4414552,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9805194805194806,0.01948051948051948
394,36,175,0.5,No,No,No,1073,No,0,0,0,0,0,0,0,0,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
395,83,66,1.0,No,No,No,704,No,0,0,0,0,0,0,0,0,1.333333333,36.4901119,-117.8760255,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.9961038961038962,0.003896103896103896
396,48,60,0.5,No,No,No,1298,No,0,0,0,0,0,0,0,0,0.333333333,36.6060444,-118.0628654,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090103,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,1.0,0.0
397,26,73,0.5,No,No,No,489,No,0,0,0,0,0,0,0,0,0.5,37.5822629,-118.8363756,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
398,21,59,0.5,No,No,No,1629,No,0,0,0,0,0,0,0,0,0.333333333,37.363001,-118.4415693,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
399,45,126,0.5,No,No,No,1001,No,0,0,0,0,0,0,0,0,0.333333333,37.3470549,-118.4161049,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
400,94,60,0.0,No,No,No,2185,No,0,0,0,0,0,0,0,0,0.0,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,162.7916062,0,0.9974025974025974,0.0025974025974025974
401,49,200,1.0,No,No,No,679,No,0,0,0,0,0,0,0,0,1.333333333,37.3614238,-118.3996636,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9831168831168832,0.016883116883116882
402,33,70,0.5,No,No,No,1710,No,0,0,0,0,0,0,0,0,0.333333333,36.615785,-118.073653,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090103,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,1.0,0.0
403,15,38,1.0,No,No,No,107,No,0,0,0,0,0,0,0,0,2.0,37.3614238,-118.3996636,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,162.7916062,0,0.9961038961038962,0.003896103896103896
404,63,40,1.0,No,No,No,1628,No,0,0,0,0,0,1,0,1,1.333333333,36.2686109,-117.5911544,INYO,239.3809524,0,1,NotInCurtailedWatershed,18-09,18-090204,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,9.042043051,0,0.9766233766233766,0.023376623376623377
405,24,53,1.0,No,No,No,509,No,0,0,0,0,0,0,0,0,1.5,36.6060444,-118.0628654,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.9961038961038962,0.003896103896103896
406,16,45,1.0,No,No,No,484,No,0,0,0,0,0,0,0,0,1.5,37.3614238,-118.3996636,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
407,67,200,0.0,No,No,No,1321,No,0,0,0,0,0,0,0,0,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
408,284,764,0.0,No,No,No,1619,No,0,0,0,0,0,0,0,0,0.333333333,37.3836152,-118.420372,INYO,239.3809524,5,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
409,48,129,0.0,No,No,No,731,No,0,0,0,0,1,1,0,2,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9922077922077922,0.007792207792207792
410,26,42,1.0,No,No,No,348,No,0,0,0,0,0,0,0,0,1.5,37.3559152,-118.404866,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9987012987012988,0.0012987012987012987
411,12,32,1.0,No,No,No,181,No,0,0,0,0,0,0,0,0,2.0,37.4451103,-118.5634579,INYO,239.3809524,0,1,NotInCurtailedWatershed,18-09,18-090102,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,162.7916062,0,0.9701298701298702,0.02987012987012987
412,16,22,1.0,No,No,No,519,No,0,0,0,0,0,0,0,0,1.5,37.3745247,-118.4178163,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
413,15,25,0.5,No,No,No,1794,No,0,0,0,0,0,0,0,0,0.333333333,37.3614238,-118.3996636,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
414,1158,3879,0.0,No,No,No,649,No,0,0,0,0,1,1,0,2,0.333333333,37.3626787,-118.3977572,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9766233766233766,0.023376623376623377
415,2,0,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1.0,36.8002094,-118.2015357,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.9935064935064936,0.006493506493506494
416,2,0,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1.0,36.6060444,-118.0628654,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.9935064935064936,0.006493506493506494
417,2,0,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1.0,37.1649307,-118.289546,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,FR-6,FR-999,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9935064935064936,0.006493506493506494
418,297,1030,0.0,No,No,No,1626,No,0,0,0,0,0,1,0,1,0.333333333,37.3553604,-118.4352606,INYO,239.3809524,5,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9844155844155844,0.015584415584415584
419,304,792,0.0,No,No,No,2228,No,0,0,0,0,1,1,0,2,0.0,37.1674901,-118.2891817,INYO,239.3809524,0,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,Yes,162.7916062,0,0.9935064935064936,0.006493506493506494
420,500,1400,0.0,No,No,No,1538,No,0,0,0,0,0,0,0,0,0.333333333,37.3785065,-118.4158082,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,0.9961038961038962,0.003896103896103896
421,336,669,0.0,No,No,No,1505,No,0,0,0,0,0,1,0,1,0.0,36.8035716,-118.1996165,INYO,239.3809524,0,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,Yes,332.6411936,0,0.9961038961038962,0.003896103896103896
422,503,1835,0.0,No,No,No,2197,No,0,0,0,0,0,0,0,0,0.0,36.8035716,-118.1996165,INYO,239.3809524,0,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,Yes,332.6411936,0,0.9922077922077922,0.007792207792207792
423,14,175,0.5,No,No,No,2076,No,0,0,0,0,0,0,0,0,0.333333333,36.5512675,-116.8910342,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090203,6,0-000,0-000,0-000,0-000,6-018,0-000,No,232.4870588,0,0.9974025974025974,0.0025974025974025974
424,61,88,1.0,No,No,No,1862,No,0,0,0,0,0,0,0,0,1.333333333,36.5512675,-116.8910342,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090203,6,0-000,0-000,0-000,0-000,6-018,0-000,No,232.4870588,0,0.9948051948051948,0.005194805194805195
425,150,150,0.0,No,No,No,1876,No,0,0,0,0,0,0,0,0,0.333333333,36.4601509,-116.8658441,INYO,239.3809524,3,0,NotInCurtailedWatershed,18-09,18-090203,6,0-000,0-000,0-000,0-000,6-018,0-000,No,232.4870588,0,0.9948051948051948,0.005194805194805195
426,2,0,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1.0,36.7274747,-118.1482456,INYO,239.3809524,1,0,NotInCurtailedWatershed,18-09,18-090103,6,0-000,0-000,0-000,0-000,6-012,0-000,No,332.6411936,0,0.987012987012987,0.012987012987012988
427,37,127,0.5,No,No,No,1121,No,0,0,0,0,0,0,0,0,0.333333333,37.393953,-118.544787,INYO,239.3809524,2,0,NotInCurtailedWatershed,18-09,18-090102,6,0-000,0-000,0-000,0-000,6-012,0-000,No,162.7916062,0,1.0,0.0
428,14,128,1.0,No,No,Yes,29,No,0,0,0,0,0,0,0,0,2.666666667,35.2662713,-119.1093266,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9246753246753247,0.07532467532467532
429,12,26,1.0,No,No,Yes,226,No,0,0,0,0,0,0,0,0,2.666666667,35.3751709,-119.4685521,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,635.6508214,0,0.8831168831168831,0.11688311688311688
430,225,143,0.0,No,No,No,562,No,0,0,0,0,1,1,0,2,0.5,35.728009,-118.553718,KERN,175.8952381,3,0,NotInCurtailedWatershed,18-03,18-030001,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,379.9561323,0,0.9688311688311688,0.03116883116883117
431,143,433,0.5,No,No,Yes,1642,No,0,0,0,0,1,0,0,1,1.0,35.3427551,-119.0816965,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9766233766233766,0.023376623376623377
432,11,28,1.0,No,No,Yes,282,No,0,0,0,0,0,0,0,0,2.166666667,35.054227,-119.0382418,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9922077922077922,0.007792207792207792
433,173,849,0.5,No,No,Yes,988,No,0,0,0,0,0,0,0,0,1.0,35.2421103,-118.9761519,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9896103896103896,0.01038961038961039
434,145,336,0.5,No,No,No,-1,No,0,0,0,0,2,1,0,3,0.333333333,35.791267,-118.4481944,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030001,5,0-000,0-000,0-000,5-025,0-000,0-000,No,379.9561323,0,0.9844155844155844,0.015584415584415584
435,47,47,0.5,No,No,No,1554,No,0,0,0,0,0,0,0,0,0.333333333,35.6001586,-118.4909794,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-025,0-000,0-000,No,360.9974327,0,0.9987012987012988,0.0012987012987012987
436,55,150,1.0,No,No,Yes,126,No,0,0,0,0,0,0,0,0,2.666666667,35.3054745,-118.9134925,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9207792207792208,0.07922077922077922
437,198,270,0.0,No,No,No,2283,No,0,0,0,2,0,2,0,4,0.0,35.0191383,-117.8338674,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-044,0-000,Yes,17.72304317,0,0.8948051948051948,0.10519480519480519
438,165,545,0.5,No,No,Yes,1760,No,0,0,0,0,0,0,0,0,1.0,35.2421103,-118.9761519,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9896103896103896,0.01038961038961039
439,90,297,1.0,No,No,Yes,1709,No,0,0,2,0,1,0,0,3,2.0,35.3873576,-119.0168962,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.8454545454545455,0.15454545454545454
440,33,89,0.0,No,No,No,1842,No,0,0,0,0,0,0,0,0,1.0,35.099795,-117.9890098,KERN,175.8952381,0,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-046,0-000,Yes,17.72304317,0,0.935064935064935,0.06493506493506493
441,23,55,1.0,No,No,No,135,No,0,0,2,0,0,1,0,3,2.0,35.2834221,-117.9876487,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-046,0-000,No,17.72304317,0,0.812987012987013,0.18701298701298702
442,80,171,0.5,No,No,No,-1,No,0,0,0,0,1,0,1,2,0.333333333,35.1996954,-118.0146518,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-046,0-000,No,17.72304317,0,0.9402597402597402,0.05974025974025974
443,42,45,0.5,No,No,No,1532,No,0,0,0,0,0,1,0,1,0.333333333,35.7685427,-118.4351807,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030001,5,0-000,0-000,0-000,5-025,0-000,0-000,No,379.9561323,0,0.9818181818181818,0.01818181818181818
444,36,150,1.0,No,No,No,840,No,0,0,0,0,0,0,0,0,1.333333333,35.1245765,-118.4741014,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-028,0-000,0-000,No,360.9974327,0,0.9818181818181818,0.01818181818181818
445,180,60,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0.333333333,35.7296702,-118.5464032,KERN,175.8952381,5,0,NotInCurtailedWatershed,18-03,18-030001,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,379.9561323,0,0.987012987012987,0.012987012987012988
446,15,32,1.0,No,No,Yes,329,No,0,0,0,0,0,0,0,0,2.166666667,35.2651421,-119.1076794,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9948051948051948,0.005194805194805195
447,81,200,0.5,No,No,Yes,1334,No,0,0,0,1,0,0,0,1,1.0,35.3526519,-119.0744292,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.977922077922078,0.02207792207792208
448,32,75,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,1.0,35.6071947,-118.4863621,KERN,175.8952381,0,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-025,0-000,0-000,Yes,360.9974327,0,0.974025974025974,0.025974025974025976
449,26,208,1.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,2.333333333,35.224821,-118.61481,KERN,175.8952381,0,0,NotInCurtailedWatershed,18-03,18-030003,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,360.9974327,1,0.11558441558441558,0.8844155844155844
450,45,149,0.5,No,No,No,1959,No,0,0,0,0,1,0,1,2,0.333333333,35.1156751,-118.5189196,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-028,0-000,0-000,No,360.9974327,0,0.987012987012987,0.012987012987012988
451,50,150,1.0,No,No,Yes,355,No,0,0,0,0,0,0,0,0,2.166666667,35.385877,-119.1412676,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,635.6508214,0,0.9753246753246754,0.024675324675324677
452,90,200,1.0,No,No,Yes,527,No,0,0,0,0,0,0,0,0,2.166666667,35.2994103,-119.0393087,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.9597402597402598,0.04025974025974026
453,85,238,0.5,No,No,No,143,No,0,0,0,0,0,0,0,0,2.0,35.6646262,-118.271414,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030002,5,0-000,0-000,0-000,5-025,0-000,0-000,No,384.3315985,1,0.4974025974025974,0.5025974025974026
454,32,32,0.5,No,No,No,879,No,0,0,0,0,0,1,0,1,0.333333333,35.7541902,-118.4325796,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030001,5,0-000,0-000,0-000,5-025,0-000,0-000,No,379.9561323,0,0.987012987012987,0.012987012987012988
455,43,157,0.5,No,No,Yes,-1,No,0,0,0,1,1,1,0,3,1.0,35.063443,-118.970946,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-022,0-000,0-000,No,360.9974327,0,0.961038961038961,0.03896103896103896
456,42,68,0.5,No,No,No,-1,No,0,0,0,0,0,1,0,1,0.333333333,35.7072666,-118.467121,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030001,FR-5,FR-999,0-000,0-000,5-025,0-000,0-000,No,379.9561323,0,0.9675324675324676,0.032467532467532464
457,49,96,0.5,No,No,No,-1,No,0,0,0,0,1,0,0,1,0.333333333,35.089714,-117.7878634,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-044,0-000,No,17.72304317,0,0.7662337662337663,0.23376623376623376
458,234,632,0.5,No,No,No,-1,No,0,0,0,0,0,0,0,0,0.333333333,35.6516387,-118.3233074,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030002,5,0-000,0-000,0-000,5-025,0-000,0-000,No,384.3315985,0,0.9805194805194806,0.01948051948051948
459,162,223,0.0,No,No,No,-1,No,0,0,0,0,2,1,0,3,0.333333333,35.7199108,-118.4976039,KERN,175.8952381,2,1,NotInCurtailedWatershed,18-03,18-030001,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,379.9561323,0,0.912987012987013,0.08701298701298701
460,155,462,0.5,No,No,Yes,975,No,0,0,0,0,0,0,0,0,1.0,35.3874539,-119.136121,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-03,18-030012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,635.6508214,0,0.9883116883116884,0.011688311688311689
461,33,132,1.0,No,No,No,-1,No,0,0,0,0,0,1,0,1,1.333333333,34.8760088,-118.8909451,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-029,0-000,0-000,No,360.9974327,0,0.9753246753246754,0.024675324675324677
462,63,174,0.0,No,No,No,-1,No,0,0,0,0,0,1,0,1,0.333333333,34.8971853,-118.2387057,KERN,175.8952381,4,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-044,0-000,No,17.72304317,0,0.9688311688311688,0.03116883116883117
463,32,65,1.0,No,No,No,-1,No,0,0,0,0,1,0,0,1,1.333333333,34.8640136,-118.1515573,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-044,0-000,No,17.72304317,0,0.8649350649350649,0.13506493506493505
464,36,74,0.0,No,No,No,827,No,0,0,0,1,1,0,0,2,0.333333333,35.6733018,-118.4793633,KERN,175.8952381,3,0,NotInCurtailedWatershed,18-03,18-030001,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,379.9561323,0,0.9805194805194806,0.01948051948051948
465,20,37,1.0,No,No,No,-1,No,0,0,0,0,1,0,0,1,2.333333333,35.0095109,-117.8379428,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-044,0-000,No,17.72304317,1,0.24415584415584415,0.7558441558441559
466,141,394,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0.333333333,35.588009,-118.4920303,KERN,175.8952381,3,0,NotInCurtailedWatershed,18-03,18-030003,FR-5,FR-999,0-000,0-000,5-025,0-000,0-000,No,360.9974327,0,0.9688311688311688,0.03116883116883117
467,60,150,0.5,No,No,Yes,-1,No,0,0,0,0,0,0,0,0,1.0,35.65065,-117.781905,KERN,175.8952381,2,0,NotInCurtailedWatershed,18-09,18-090205,6,0-000,0-000,0-000,0-000,6-054,0-000,No,293.9692012,0,0.9935064935064936,0.006493506493506494
468,47,36,1.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,1.333333333,35.6451159,-118.3281083,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030002,5,0-000,0-000,0-000,5-025,0-000,0-000,No,384.3315985,0,0.8194805194805195,0.18051948051948052
469,28,56,0.0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0.333333333,35.6745087,-118.4907529,KERN,175.8952381,3,0,NotInCurtailedWatershed,18-03,18-030001,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,379.9561323,0,0.9844155844155844,0.015584415584415584
470,290,750,0.0,No,No,Yes,2224,No,0,0,0,0,0,0,0,0,0.666666667,35.4065186,-119.0363218,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030012,5,0-000,0-000,0-000,5-022,0-000,0-000,Yes,635.6508214,0,0.9844155844155844,0.015584415584415584
471,16,56,1.0,No,No,No,89,No,0,0,0,0,0,0,0,0,2.0,34.9416417,-118.2545924,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-09,18-090206,6,0-000,0-000,0-000,0-000,6-046,0-000,No,17.72304317,0,0.5077922077922078,0.4922077922077922
472,24,67,1.0,No,No,No,-1,No,0,0,0,1,0,0,0,1,2.333333333,35.7068961,-118.4561967,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030001,5,0-000,0-000,0-000,5-025,0-000,0-000,No,379.9561323,1,0.412987012987013,0.587012987012987
473,86,82,1.0,No,No,No,174,No,0,0,0,0,0,0,0,0,2.0,34.7867479,-118.9913756,KERN,175.8952381,1,0,NotInCurtailedWatershed,18-03,18-030003,5,0-000,0-000,0-000,5-083,0-000,0-000,No,360.9974327,0,0.938961038961039,0.06103896103896104
